meditating
exercise
Hanging out with friends IRL
Reading
taking in nature
tennis
making videos
Painting
self-reflection/journaling
talk to parents
dr k guide to meditation
Wood-carving
writing
making music
Calling friends
Rock climbing
clubs
Learning self-improvement systems
effective altruism
practicing Spanish
Judaism
saunas
camping
learning Hebrew/languages
watching movies
finance
Learning knowledge/history
dancing
Learning completely new skills
practicing writing right-handed
watching tv
Going to museums
